EMPID	EMPName	EMPDesig	EMPLocation
1	Anand	Chairman and CEO	Round Rock, Texas, United States
2	Aravind	Vice Chairman, Operations & President, Client Services	Austin, Texas, United States
3	Deepak	President, Storage	Hopkinton, Massachusetts, United States
4	Gangadhar	VP, Engineering, Storage, Integrated, ferings	Hopkinton, Massachusetts, United States
5	Vijayan Shrinivasan	Senior Director, Software Engineering	Bangalore, India
6	Chandana Pavuluru	Director, Software Engineering	Bangalore, India
7	Gopinath	Manager, Software Engineering	Bangalore, India
8	edcb5	Software Engineer	Bangalore, India
9	fedc6	Software Engineer	Bangalore, India
10	gfed7	Software Engineer	Bangalore, India
11	hgfe8	Software Engineer	Bangalore, India
12	ihgf9	Software Engineer	Bangalore, India
13	jihg10	Software Engineer	Bangalore, India
14	kjih11	Software Engineer	Bangalore, India
15	lkji12	Software Engineer	Bangalore, India
16	mlkj13	Software Engineer	Bangalore, India
17	nmlk14	Software Engineer	Bangalore, India
18	onml15	Software Engineer	Bangalore, India
19	ponm16	Software Engineer	Bangalore, India
20	qpon17	Software Engineer	Bangalore, India
21	rqpo18	Software Engineer	Bangalore, India
22	srqp19	Software Engineer	Bangalore, India
23	tsrq20	Software Engineer	Bangalore, India
24	utsr21	Software Engineer	Bangalore, India
25	vuts22	Software Engineer	Bangalore, India
26	wvut23	Software Engineer	Bangalore, India
27	xwvu24	Software Engineer	Bangalore, India
28	yxwv25	Software Engineer	Bangalore, India
29	zyxw26	Software Engineer	Bangalore, India
30	azyx27	Software Engineer	Bangalore, India
